date,dynamic,type,game,bet,close,grade,risk,result,turn_in
2025-08-28,CFB,total,Ohio/Rutgers,o24 -115,o27 -115,45.0,1200.0,-1200.0,CFB 149 Ohio/Rutgers over 72 -115
2025-08-28,CFB,side,ECU +16.5,+6.5 -105,5 -110,35.0,3860.0,3576.09,CFB 141 ECU +16.5 -105
2025-08-28,CFB,total,Buffalo/Minnesota,o17.5 -112,u20.5 -130,63.0,2910.0,2525.73,CFB 153 Buffalo/Minnesota over 30.5 -112
2025-08-28,CFB,total,Jacksonville State/UCF,u23.5 -120,u21 -110,27.5,2550.0,-2550.0,CFB 145 Jacksonville State/UCF under 23.5 -120
2025-08-28,CFB,side,Nebraska,-3 -118,-3.5 -120,127.0,2616.0,-1566.0,CFB 151 Nebraska -13 -118 for LIVE
2025-08-28,CFB,total,Nebraska/Cinci,u23.5 -110,u23 -120,17.5,2616.0,-1566.0,CFB 151 Nebraska/Cinci under 23.5 -110
2025-08-29,CFBExtra,side,Army,-3.5 -120,-6.5 -110,50.0,4179.0,-4179.0,CFBExtra 308952 Army -10.5 -120
2025-08-29,CFB,total,App State/Charlotte,o20.5 -130,o23 -115,22.5,19386.99,16975.58,CFB 159 App State/Charlotte over 40.5 -125
2025-08-29,CFB,side,App State,-.5 -115,-3 -125,-62.0,19386.99,16975.58,CFB 159 App State -14.5 -115
2025-08-29,CFB,side,Kansas,-20.5 -125,-21.5 -110,5.0,1825.0,-1825.0,CFB 308954 Kansas -42.5 -125
2025-08-29,CFB,total,Bethune Cookman/FIU,o28.5 -100,30.5 -110,40.0,10010.46,-10010.46,CFB 308955 Bethune Cookman/FIU over 62.5
2025-08-30,CFB,total,Ball State/Purdue,u21.5 -115,u21 -115,7.5,8056.24,7019.79,CFB 169 Ball State/Purdue under 42.5 -115
2025-08-30,CFB,total,Northwestern/Tulane,u21.5 -115,u20.5 EV,0.0,1870.0,1625.72,CFB 203 Northwestern/Tulane under 44.5 -115
2025-08-30,CFB,side,Tulane,-2.5 -110,-3 -130,-97.0,1870.0,1625.72,CFB 204 Tulane -19.5 -110
2025-08-30,CFB,total,FAU/Maryland,u27.5 -110,u27 -120,17.5,2490.1,2298.35,CFB 183 FAU/Maryland under 67.5 -110
2025-08-30,CFB,total,Toledo/Kentucky,o18.5 -115,o20.5 -110,25.0,400.0,338.98,CFB 191 Toledo/Kentucky over 30.5 -115
